Infinitive,Mood,Tense,Person,Conjugation,Example,Example-English
haber,Participle,Gerund,,habiendo,,
haber,Participle,Past_Participle,,habido,,
haber,Indicative,Present,yo,he,,
haber,Indicative,Present,tú,has,,
haber,Indicative,Present,él/ella/Ud.,ha,,
haber,Indicative,Present,nosotros,hemos,,
haber,Indicative,Present,vosotros,habéis,,
haber,Indicative,Present,ellos/ellas/Uds.,han,,
haber,Indicative,Preterite,yo,hube,,
haber,Indicative,Preterite,tú,hubiste,,
haber,Indicative,Preterite,él/ella/Ud.,hubo,,
haber,Indicative,Preterite,nosotros,hubimos,,
haber,Indicative,Preterite,vosotros,hubisteis,,
haber,Indicative,Preterite,ellos/ellas/Uds.,hubieron,,
haber,Indicative,Imperfect,yo,había,,
haber,Indicative,Imperfect,tú,habías,,
haber,Indicative,Imperfect,él/ella/Ud.,había,,
haber,Indicative,Imperfect,nosotros,habíamos,,
haber,Indicative,Imperfect,vosotros,habíais,,
haber,Indicative,Imperfect,ellos/ellas/Uds.,habían,,
haber,Indicative,Conditional,yo,habría,,
haber,Indicative,Conditional,tú,habrías,,
haber,Indicative,Conditional,él/ella/Ud.,habría,,
haber,Indicative,Conditional,nosotros,habríamos,,
haber,Indicative,Conditional,vosotros,habríais,,
haber,Indicative,Conditional,ellos/ellas/Uds.,habrían,,
haber,Indicative,Future,yo,habré,,
haber,Indicative,Future,tú,habrás,,
haber,Indicative,Future,él/ella/Ud.,habrá,,
haber,Indicative,Future,nosotros,habremos,,
haber,Indicative,Future,vosotros,habréis,,
haber,Indicative,Future,ellos/ellas/Uds.,habrán,,
haber,Subjunctive,Present,yo,haya,,
haber,Subjunctive,Present,tú,hayas,,
haber,Subjunctive,Present,él/ella/Ud.,haya,,
haber,Subjunctive,Present,nosotros,hayamos,,
haber,Subjunctive,Present,vosotros,hayáis,,
haber,Subjunctive,Present,ellos/ellas/Uds.,hayan,,
haber,Subjunctive,Imperfect,yo,hubiera,,
haber,Subjunctive,Imperfect,tú,hubieras,,
haber,Subjunctive,Imperfect,él/ella/Ud.,hubiera,,
haber,Subjunctive,Imperfect,nosotros,hubiéramos,,
haber,Subjunctive,Imperfect,vosotros,hubierais,,
haber,Subjunctive,Imperfect,ellos/ellas/Uds.,hubieran,,
haber,Subjunctive,Future,yo,hubiere,,
haber,Subjunctive,Future,tú,hubieres,,
haber,Subjunctive,Future,él/ella/Ud.,hubiere,,
haber,Subjunctive,Future,nosotros,hubiéremos,,
haber,Subjunctive,Future,vosotros,hubiereis,,
haber,Subjunctive,Future,ellos/ellas/Uds.,hubieren,,
haber,Imperative,Affirmative,tú,habe,,
haber,Imperative,Affirmative,él/ella/Ud.,haya,,
haber,Imperative,Affirmative,nosotros,hayamos,,
haber,Imperative,Affirmative,vosotros,habed,,
haber,Imperative,Affirmative,ellos/ellas/Uds.,hayan,,
haber,Imperative,Negative,tú,no hayas,,
haber,Imperative,Negative,él/ella/Ud.,no haya,,
haber,Imperative,Negative,nosotros,no hayamos,,
haber,Imperative,Negative,vosotros,no hayáis,,
haber,Imperative,Negative,ellos/ellas/Uds.,no hayan,,
hacer,Participle,Gerund,,,,
hacer,Participle,Past_Participle,,,,
hacer,Indicative,Present,yo,hago,,
hacer,Indicative,Present,tú,haces,,
hacer,Indicative,Present,él/ella/Ud.,hace,,
hacer,Indicative,Present,nosotros,hacemos,,
hacer,Indicative,Present,vosotros,hacéis,,
hacer,Indicative,Present,ellos/ellas/Uds.,hacen,,
hacer,Indicative,Preterite,yo,hice,,
hacer,Indicative,Preterite,tú,hiciste,,
hacer,Indicative,Preterite,él/ella/Ud.,hizo,,
hacer,Indicative,Preterite,nosotros,hicimos,,
hacer,Indicative,Preterite,vosotros,hicisteis,,
hacer,Indicative,Preterite,ellos/ellas/Uds.,hicieron,,
hacer,Indicative,Imperfect,yo,hacía,,
hacer,Indicative,Imperfect,tú,hacías,,
hacer,Indicative,Imperfect,él/ella/Ud.,hacía,,
hacer,Indicative,Imperfect,nosotros,hacíamos,,
hacer,Indicative,Imperfect,vosotros,hacíais,,
hacer,Indicative,Imperfect,ellos/ellas/Uds.,hacían,,
hacer,Indicative,Conditional,yo,haría,,
hacer,Indicative,Conditional,tú,harías,,
hacer,Indicative,Conditional,él/ella/Ud.,haría,,
hacer,Indicative,Conditional,nosotros,haríamos,,
hacer,Indicative,Conditional,vosotros,haríais,,
hacer,Indicative,Conditional,ellos/ellas/Uds.,harían,,
hacer,Indicative,Future,yo,haré,,
hacer,Indicative,Future,tú,harás,,
hacer,Indicative,Future,él/ella/Ud.,hará,,
hacer,Indicative,Future,nosotros,haremos,,
hacer,Indicative,Future,vosotros,haréis,,
hacer,Indicative,Future,ellos/ellas/Uds.,harán,,
hacer,Subjunctive,Present,yo,haga,,
hacer,Subjunctive,Present,tú,hagas,,
hacer,Subjunctive,Present,él/ella/Ud.,haga,,
hacer,Subjunctive,Present,nosotros,hagamos,,
hacer,Subjunctive,Present,vosotros,hagáis,,
hacer,Subjunctive,Present,ellos/ellas/Uds.,hagan,,
hacer,Subjunctive,Imperfect,yo,hiciera,,
hacer,Subjunctive,Imperfect,tú,hicieras,,
hacer,Subjunctive,Imperfect,él/ella/Ud.,hiciera,,
hacer,Subjunctive,Imperfect,nosotros,hiciéramos,,
hacer,Subjunctive,Imperfect,vosotros,hicierais,,
hacer,Subjunctive,Imperfect,ellos/ellas/Uds.,hicieran,,
hacer,Subjunctive,Future,yo,hiciere,,
hacer,Subjunctive,Future,tú,hicieres,,
hacer,Subjunctive,Future,él/ella/Ud.,hiciere,,
hacer,Subjunctive,Future,nosotros,hiciéremos,,
hacer,Subjunctive,Future,vosotros,hiciereis,,
hacer,Subjunctive,Future,ellos/ellas/Uds.,hicieren,,
hacer,Imperative,Affirmative,tú,haz,,
hacer,Imperative,Affirmative,él/ella/Ud.,haga,,
hacer,Imperative,Affirmative,nosotros,hagamos,,
hacer,Imperative,Affirmative,vosotros,haced,,
hacer,Imperative,Affirmative,ellos/ellas/Uds.,hagan,,
hacer,Imperative,Negative,tú,no hagas,,
hacer,Imperative,Negative,él/ella/Ud.,no haga,,
hacer,Imperative,Negative,nosotros,no hagamos,,
hacer,Imperative,Negative,vosotros,no hagáis,,
hacer,Imperative,Negative,ellos/ellas/Uds.,no hagan,,
